category,question,answer,is_most,brand_id
TOP 10,"내비게이션 업데이트는 어디서, 어떻게 하나요?","내비게이션 업데이트는 기아멤버스 홈페이지에 접속하시어 이용하실 수 있습니다.  
  업데이트 시 유의사항
① 시동 스위치 ON 하여 내비게이션이 켜진 경우에도 업데이트 가능합니다.  
(주의 : 차량 전원을 사용하는 경우 배터리 충전량이 충분한 상태에서 업데이트를 진행하는 것을 권장합니다.) 
② 업데이트 중 내비게이션 전원이 차단되거나, 미디어를 제거할 경우 정상 동작하지 않을 수 있습니다.  
(주의 : 시동 버튼 ON 상태에서 업데이트 중 시동을 걸 경우에도 내비게이션 전원이 차단될 수 있습니다.)  
  * 도로/카메라/명칭/주소/전화번호 등의 신규 지도 등록 또는 오류가 있다면 아래 URL을 클릭하시어 제보해 주십시오. 
내비게이션/빌트인 캠 업데이트
지도개선요청",,1
TOP 10,상승 내장탑차가 무엇인가요?,"상승 내장탑차는 단, 1대로 저상형에서 플러스형 높이까지 조절이 가능한 탑차입니다. 
탑과 캐빈이 유사한 높이로 설계되어 지하주차장 출입이 용이한 저상형 높이부터  넓은 적재용적으로 높은 수용효율을 제공하는 플러스형 높이까지 조절이 가능합니다.",,1
TOP 10,빌트인 캠 이벤트 알림을 설정했는데도 알림 메세지가 오지 않습니다. 어떻게 해야 하나요?,"① 이벤트 알림은 민감도 설정값이 3단계 이하인 경우만 제공하고 있습니다. 
민감도 4단계 이상 설정한 경우에도, 이벤트 알림 여부와 상관없이 녹화기능은 작동하고 있으니, 걱정마세요. 
* 민감도 4,5단계 이벤트 알림 없는 이유 : 이벤트 알림은 주차 후 최대 5회까지 제공되며, 민감도를 높게 설정할 경우 정말 중요한 이벤트 알림을 받을 수 없어 민감도 보통 이하에서만 알림을 제공하고 있습니다.
* 이벤트 알림 설정 방법 : 인포테인먼트 시스템의 빌트인 캠 화면에서 '빌트인 캠 설정>녹화>주차 중 이벤트 알림'을 선택하면 커넥티드 서비스 앱을 통해 알림을 받을 수 있습니다. 단, 커넥티드 서비스에 가입 후 앱에서도 알림을 받도록 설정하여야 합니다.
  ② 이벤트 알림은 불필요한 알림이 가지 않도록 차량 잠금(도난경보장치 경계 상태) 후 발생한 이벤트에 대해서만 알림을 보내고 있습니다. 녹화 기능은 작동하고 있으니, 걱정 마세요.",,1
기아멤버스,"기아멤버스 카드를 분실했는데, 재발급 받기 전에 오토큐에서 포인트를 사용할 수 있습니까?","적립된 멤버스포인트는 카드 없이도 오토큐에서 사용이 가능합니다.
오토큐에서 실물 카드 없이 멤버스포인트 사용 시 아래와 같은 방법으로 이용하시면 됩니다.
 - 차량명의자와 휴대폰명의자가 동일한 경우 휴대폰 인증하여 사용 가능",,1
홈페이지,기아 홈페이지 회원가입을 했으나 로그인이 되지 않습니다. 왜 그런가요?,"정보통신망법 개정 및 회원 고객님의 개인정보보호를 위하여 홈페이지에 1년 이상 로그인하지 않는 경우, 회원정보의 보호 및 운영의 효율성을 위해 휴면계정으로 전환됩니다. 
휴면계정으로 로그인이 되지 않을 경우, 본인인증을 통해 해제 후 이용이 가능합니다. 
또한, 홈페이지에 1년 이상 비로그인 시 분리보관 후 4년 후 탈퇴/파기 합니다.  
  * 휴면계정 해제(본인 인증)가 불가하거나 정상 로그인이 되지 않는 경우는 기아 고객센터(080-200-2000)로 문의하여 주시기 바랍니다. ",,1
기타,급속충전기는 어떠한 사용제약이 있나요?,"환경부 급속충전기는 1회 충전당 40분 컷을 적용하고 있음 (사용자 재인증 후 추가 충전 가능)
한전 및 다른 충전사업자 충전기도 다른 차량이 대기할 경우 적당량을 충전하고 양보하는 것이 에티켓",,1
[차량 구매],제네시스 구입 후 세금계산서 발급받으려고 하는데 어떻게 해야 하나요?,"[개인사업자 및 법인사업자 구입고객]
2010년 7월 1일부터 세금계산서가 서면이 아닌 전자 세금계산서로 발행이 됩니다. 사이트( http://e-vat.hyundai.com ) 에서 발급받으시면 됩니다.

[개인 구입고객]
2011년 4월11일부터 차량 구입하신 지점(대리점)에서 영수증이 발행됩니다.",,2
[차량 구매],제네시스 차량 구입 시 의무보험료란 금액을 납부하였습니다. 이것은 어떤 종류의 보험인가요?,"의무보험은 차량이 출고센터를 동해 출고되어 임시운행 기간 동안에만 유효한 보험입니다. 이는 임시운행 기간 중 발생되는 교통사고 피해자의 피해배상 보장을 위한 자동차 손해배상보장법 개정으로 임시운행허가 차량의 의무보험 가입이 법제화 되었습니다. 보상책임기간은 출고일부터 임시운행허가 기간인 10일(기간 만료일 24시까지)동안이고 보험료는 차종별 정액보험료가 적용됩니다. (대부분의 경우 1만원 이내) 따라서 차량을 구입하신 고객께서는 임시운행허가기간 종료 이전에 1년만기 책임보험, 혹은 종합보험에 반드시 가입하셔야 합니다. 의무보험은 1회 소멸성 보험으로 임시운행증을 반납하거나 다른 책임보험에 가입하시는 경우 자동으로 해지가 됩니다.",,2
[차량 구매],일정기간 이상 지난 차량은 자동차세가 경감된다고 하는데 그 내용을 알고 싶습니다.,"자가용 승용차의 차령 3년이상 차량에 대한 자동차세 경감은 현재에도 시행되고 있는 사항으로 대입공식은 다음과 같습니다.

○자동차세/2-(자동차세/2*5%)*(차령-2)",,2
[차량 구매],부가세 환급을 받을 수 있는 차종 및 조건은 무엇인가요?,"개인 또는 법인 사업자 명의로 등록하는 경우 9인승 이상의 차량이나 경차, 화물차 구입시 부가세를 환급 받으실 수 있습니다. (단, 면세사업자 제외)",,2
